date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:18:14	5432/5432	---MCZ	200	added ('OK')	text/html	date:Fri,%2030%20Sep%202022%2019:10:32%20GMT	https://colorlib.com/etc/lf/Login_v18/index.html	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/index.html	(from )
16:18:14	166/166	---MCZ	200	added ('OK')	text/plain	etag:W/%22659fc798-11b%22	https://colorlib.com/robots.txt		(from )
16:18:14	32038/32038	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2263373f28-7d26%22	https://colorlib.com/etc/lf/Login_v18/images/icons/favicon.ico	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/images/icons/favicon.ico	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:14	124962/124962	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f30-1e822%22	https://colorlib.com/etc/lf/Login_v18/vendor/bootstrap/css/bootstrap.min.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/bootstrap/css/bootstrap.min.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:14	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f0a-7918%22	https://colorlib.com/etc/lf/Login_v18/fonts/font-awesome-4.7.0/css/font-awesome.min.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:15	7354/7354	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f15-1cba%22	https://colorlib.com/etc/lf/Login_v18/fonts/Linearicons-Free-v1.0.0/icon-font.min.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/fonts/Linearicons-Free-v1.0.0/icon-font.min.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:15	17502/17502	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f2b-5d28%22	https://colorlib.com/etc/lf/Login_v18/vendor/animate/animate.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/animate/animate.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:15	19686/19686	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f34-4ce6%22	https://colorlib.com/etc/lf/Login_v18/vendor/css-hamburgers/hamburgers.min.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/css-hamburgers/hamburgers.min.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:15	27478/27478	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f2b-6b56%22	https://colorlib.com/etc/lf/Login_v18/vendor/animsition/css/animsition.min.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/animsition/css/animsition.min.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:16	15196/15196	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f39-3b5c%22	https://colorlib.com/etc/lf/Login_v18/vendor/select2/select2.min.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/select2/select2.min.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:16	6228/6228	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f35-1fe3%22	https://colorlib.com/etc/lf/Login_v18/vendor/daterangepicker/daterangepicker.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/daterangepicker/daterangepicker.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:16	70790/70790	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f08-1531e%22	https://colorlib.com/etc/lf/Login_v18/css/util.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/css/util.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:16	8125/8125	---MCZ	200	added ('OK')	text/css	etag:W/%2263373f07-2f99%22	https://colorlib.com/etc/lf/Login_v18/css/main.css	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/css/main.css	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:16	24/24	---M--	400	error ('Bad%20Request')	text/plain	date:Sun,%2031%20Mar%202024%2009:18:16%20GMT	https://colorlib.com/cdn-cgi/zaraz/s.js?z=	D:/Java%204_2/login/colorlib.com/cdn-cgi/zaraz/sd0d9.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:17	84081/84081	---M--	200	added ('OK')	image/jpeg	etag:%2263373f28-15f09%22	https://colorlib.com/etc/lf/Login_v18/images/bg-01.jpg	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/images/bg-01.jpg	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:17	86659/86659	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373f36-15283%22	https://colorlib.com/etc/lf/Login_v18/vendor/jquery/jquery-3.2.1.min.js	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/jquery/jquery-3.2.1.min.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:17	5615/5615	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373f2c-15ef%22	https://colorlib.com/etc/lf/Login_v18/vendor/animsition/js/animsition.min.js	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/animsition/js/animsition.min.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:17	34239/34239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373f32-13f06%22	https://colorlib.com/etc/lf/Login_v18/vendor/bootstrap/js/popper.js	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/bootstrap/js/popper.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:18	51143/51143	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373f32-c7c7%22	https://colorlib.com/etc/lf/Login_v18/vendor/bootstrap/js/bootstrap.min.js	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/bootstrap/js/bootstrap.min.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:18	66664/66664	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373f39-10468%22	https://colorlib.com/etc/lf/Login_v18/vendor/select2/select2.min.js	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/select2/select2.min.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:18	46645/46645	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373f36-b635%22	https://colorlib.com/etc/lf/Login_v18/vendor/daterangepicker/moment.min.js	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/daterangepicker/moment.min.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
16:18:18	41282/41282	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263373f35-11090%22	https://colorlib.com/etc/lf/Login_v18/vendor/daterangepicker/daterangepicker.js	D:/Java%204_2/login/colorlib.com/etc/lf/Login_v18/vendor/daterangepicker/daterangepicker.js	(from https://colorlib.com/etc/lf/Login_v18/index.html)
